LocationID,Suburb,State,Postcode,Latitude,Longitude
S-11,ARALUEN NORTH,nsw,2622,-35.61666489,149.80000305
S-13,ARCADIA,nsw,2159,-33.61666489,151.03334045
S-34,ARCADIA VALE,nsw,2283,-33.06666565,151.58332825
S-31,ARDGLEN,nsw,2338,-31.73333359,150.78334045
S-51,ARDING,nsw,2358,-30.56666756,151.5166626
S-62,ARDLETHAN,nsw,2665,-34.34999847,146.8999939
S-57,ARGALONG,nsw,2720,-35.29999924,148.43333435
S-100,ARGENTON,nsw,2284,-32.93333435,151.6166687
S-28,ARGENTS HILL,nsw,2449,-30.61666679,152.75
S-40,ARGOON,nsw,2707,-34.80500031,145.57499695
S-16,ARGYLE,nsw,2350,-30.56666756,151.83332825
S-61,ARIAH PARK,nsw,2665,-34.33333206,147.21665955
S-55,ARKELL,nsw,2795,-33.71666718,149.3833313
S-93,ARKSTONE,nsw,2795,-34.01666641,149.6499939
S-100,ARMATREE,nsw,2831,-31.43333244,148.46665955
S-20,ARMIDALE,nsw,2350,-30.51666641,151.66667175
S-0,ARNCLIFFE,nsw,2205,-33.93333435,151.1499939
S-41,ARNDELL PARK,nsw,2148,-33.78333282,150.8666687
S-6,ARRAWARRA,nsw,2456,-30.04999924,153.19999695
S-7,ARRAWARRA HEADLAND,nsw,2456,-30.06833267,153.19500732
S-15,ARTARMON,nsw,2064,-33.79999924,151.18333435
S-53,ARTHURVILLE,nsw,2820,-32.54999924,148.7333374
S-23,ASHBURY,nsw,2193,-33.90000153,151.1166687
S-53,ASHBY,nsw,2463,-29.41666603,153.18333435
S-99,ASHBY HEIGHTS,nsw,2463,-29.38333321,153.16667175
S-36,ASHCROFT,nsw,2168,-33.91666794,150.8999939
S-80,ASHFIELD,nsw,2131,-33.88333511,151.1166687
S-94,ASHFORD,nsw,2361,-29.31666756,151.08332825
S-28,ASHLEY,nsw,2400,-29.31666756,149.81666565
S-61,ASHMONT,nsw,2650,-35.13166809,147.33332825
S-18,ASHTONFIELD,nsw,2323,-32.78333282,151.6000061
S-10,ASHVILLE,nsw,2594,-36.63333511,149.6000061
S-95,ASQUITH,nsw,2077,-33.68333435,151.1000061
S-45,ATHOLWOOD,nsw,2361,-28.98333359,151.05000305
S-42,ATTUNGA,nsw,2345,-30.93333244,150.8500061
S-73,AUBURN,nsw,2144,-33.84833145,151.03334045
S-38,AUBURN SOUTH,nsw,2144,-33.83333206,151.03334045
S-70,AUBURN VALE,nsw,2360,-29.81666756,151.03334045
S-39,AUDLEY,nsw,2232,-34.08333206,151.05000305
S-83,AURVILLE,nsw,2587,-34.53333282,148.3833313
S-98,AUSTINMER,nsw,2515,-34.29999924,150.93333435
S-41,AUSTRAL,nsw,2179,-33.93333435,150.81666565
S-11,AUSTRAL EDEN,nsw,2440,-31.01666641,152.93333435
S-34,AVALON,nsw,2107,-33.63199997,151.31799316
S-35,AVALON BEACH,nsw,2107,-33.63333511,151.33332825
S-74,AVISFORD,nsw,2850,-32.71666718,149.4833374
S-63,AVOCA,nsw,2577,-34.61500168,150.4833374
S-93,AVOCA BEACH,nsw,2251,-33.46666718,151.43333435
S-78,AVONDALE,nsw,2530,-32.09999847,149.33332825
S-10,AWABA,nsw,2283,-33.01666641,151.53334045
S-17,AYLMERTON,nsw,2575,-34.41666794,150.4833374
S-55,BAAN BAA,nsw,2390,-30.60000038,149.94999695
S-25,BACK CREEK,nsw,2422,-33.84999847,147.3999939
S-58,BACK CREEK,nsw,2480,-33.84999847,147.3999939
S-16,BACK CREEK,nsw,2484,-33.84999847,147.3999939
S-5,BACK CREEK,nsw,2622,-33.84999847,147.3999939
S-76,BACK CREEK,nsw,2729,-33.84999847,147.3999939
S-64,BACK FOREST,nsw,2535,-34.83333206,150.68333435
S-95,BACKMEDE,nsw,2470,-28.75,153.0166626
S-82,BACKWATER,nsw,2365,-30.04999924,151.8833313
S-23,BADGERYS CREEK,nsw,2555,-33.81666565,150.7666626
S-70,BADJA,nsw,2630,-36.03333282,149.53334045
S-81,BAERAMI,nsw,2333,-32.36666489,150.46665955
S-95,BAERAMI CREEK,nsw,2333,-32.46666718,150.4833374
S-30,BAGNOO,nsw,2446,-31.46666718,152.53334045
S-67,BAGO,nsw,2730,-31.5,152.66667175
S-45,BAGOTVILLE,nsw,2477,-28.96666718,153.41667175
