Suburb,Postcode,Longitude,Latitude
AVOCA BEACH,2251,151.43333435,-33.46666718
AVONDALE,2530,149.33332825,-32.09999847
AWABA,2283,151.53334045,-33.01666641
AYLMERTON,2575,150.4833374,-34.41666794
BAAN BAA,2390,149.94999695,-30.60000038
BACK CREEK,2422,147.3999939,-33.84999847
BACK CREEK,2480,147.3999939,-33.84999847
BACK CREEK,2484,147.3999939,-33.84999847
BACK CREEK,2622,147.3999939,-33.84999847
BACK CREEK,2729,147.3999939,-33.84999847
BACK FOREST,2535,150.68333435,-34.83333206
BACKMEDE,2470,153.0166626,-28.75
BACKWATER,2365,151.8833313,-30.04999924
BADGERYS CREEK,2555,150.7666626,-33.81666565
BADJA,2630,149.53334045,-36.03333282
BAERAMI,2333,150.46665955,-32.36666489
BAERAMI CREEK,2333,150.4833374,-32.46666718
BAGNOO,2446,152.53334045,-31.46666718
BAGO,2730,152.66667175,-31.5
BAGOTVILLE,2477,153.41667175,-28.96666718
BAKERS CREEK,2358,152.1000061,-31.93333244
BAKERS CREEK,2422,152.1000061,-31.93333244
BAKERS SWAMP,2820,148.91667175,-32.75
BALALA,2358,151.33332825,-30.60000038
BALARANG,2529,150.83332825,-34.54833221
BALCOLYN,2264,151.55000305,-33.08333206
BALD BLAIR,2365,151.78334045,-30.21666718
BALD HILLS,2549,149.83332825,-36.90000153
BALD NOB,2370,151.96665955,-29.61666679
BALD RIDGE,2795,149.43333435,-33.93333435
BALDERSLEIGH,2365,151.41667175,-30.25
BALDRY,2867,148.5,-32.86666489
BALGOWLAH,2093,151.25,-33.79999924
BALGOWLAH HEIGHTS,2093,151.2666626,-33.78333282
BALGOWNIE,2519,150.8666687,-34.38333511
BALICKERA,2324,151.80000305,-32.63333511
BALLADORAN,2831,148.6499939,-31.85000038
BALLALABA,2622,149.6333313,-35.54999924
BALLDALE,2646,146.5166626,-35.84999847
BALLENGARRA,2441,152.69999695,-31.31666756
BALLIMORE,2830,148.8833313,-32.18333435
BALLINA,2478,153.53334045,-28.83333397
BALLYROE,2795,149.56666565,-34.04999924
BALMAIN,2041,151.16667175,-33.84999847
BALMAIN EAST,2041,151.18333435,-33.83333206
BALMORAL,2088,151.25166321,-33.83166504
BALMORAL,2283,151.58166504,-33.05333328
BALMORAL VILLAGE,2571,150.5166626,-34.31666565
BALRANALD,2715,143.56666565,-34.63333511
BALWARRA HEIGHTS,2460,152.93333435,-29.70000076
BAMARANG,2540,150.5166626,-34.90000153
BANDON,2871,148.30000305,-33.48333359
BANDON GROVE,2420,151.71665955,-32.29999924
BANGADANG,2729,147.94999695,-35.23333359
BANGALEE,2541,150.5166626,-34.83333206
BANGALOW,2479,153.5166626,-28.68333244
BANGOR,2234,151.03334045,-34
BANKSIA,2216,151.1333313,-33.95000076
BANKSMEADOW,2019,151.21665955,-33.96666718
BANKSTOWN,2200,151.03334045,-33.91666794
BANKSTOWN AERODROME,2200,150.9833374,-33.91666794
BANNABY,2580,149,-34.43333435
BANNISTER,2580,149.4833374,-34.59999847
BANOON,2347,150.3666687,-30.53333282
BANORA POINT,2486,153.53334045,-28.21666718
BANYABBA,2469,153.0166626,-29.33333397
BAR BEACH,2300,151.7666626,-32.93333435
BAR POINT,2083,151.16667175,-33.48333359
BARA,2850,149.83332825,-32.54999924
BARADINE,2396,149.06666565,-30.95000076
